Name,Type,Neighbourhood,Latitude,Longitude
Burrard Landing,Shopping Centre,Central Business District,49.28919239,-123.1165348
Waterfront Centre,Shopping Centre,Central Business District,49.28765285,-123.1150971
Sinclair Centre,Shopping Centre,Central Business District,49.2859593,-123.1140886
Holt Renfrew,Shopping Centre,Central Business District,49.28406084,-123.1165645
CF Pacific Centre,Shopping Centre,Central Business District,49.28342371,-123.1175452
Hudson Mall,Shopping Centre,Central Business District,49.28315932,-123.1165609
Chinatown Vancouver,Shopping Centre,Central Business District,49.28019569,-123.1057368
International Village Mall,Shopping Centre,Central Business District,49.28023109,-123.1067996
Chinatown Plaza,Shopping Centre,Strathcona,49.27941221,-123.1019777
Dundas Plaza,Shopping Centre,Grandview-Woodland,49.28526648,-123.0620933
Jericho Village Shopping Centre,Shopping Centre,West Point Grey,49.26851916,-123.1859289
Arbutus Shopping Centre,Shopping Centre,Arbutus Ridge,49.24914367,-123.1551324
Kids's Market,Shopping Centre,Fairview,49.27052605,-123.135965
City Square Shopping Centre,Shopping Centre,Fairview,49.26094852,-123.1166531
Centrepoint Mall,Shopping Centre,Mount Pleasant,49.25880858,-123.1017337
Kingsgate Mall,Shopping Centre,Mount Pleasant,49.26249437,-123.0971571
Landmark Shopping Plaza,Shopping Centre,Marpole,49.21966391,-123.1184353
Granville Place,Shopping Centre,Marpole,49.21190698,-123.1403028
Marine Gateway,Shopping Centre,Marpole,49.21002854,-123.1162088
Victoria Square Shopping Center,Shopping Centre,Kensington-Cedar Cottage,49.23333763,-123.0666368
Champlain Square,Shopping Centre,Killarney,49.21912855,-123.0403129
Circle Square Strip Mall,Shopping Centre,Killarney,49.2319588,-123.0278316
Queen's Plaza,Shopping Centre,Kensington-Cedar Cottage,49.25318959,-123.0830755
First Avenue Marketplace,Shopping Centre,Hastings-Sunrise,49.26907856,-123.0459093
Il Mercato,Shopping Centre,Grandview-Woodland,49.27006141,-123.0701848
Gx,Shopping Centre,Strathcona,49.26879032,-123.0809732
Stanley Park,Attractions,Stanley Park,49.3042582,-123.1444827
Granville Island,Attractions,Fairview,49.27112867,-123.1340117
Vancouver Aquarium,Attractions,Stanley Park,49.30053239,-123.1309075
Queen Elizabeth Park,Attractions,Riley Park,49.24184516,-123.1127559
VanDusen Botanical Garden,Attractions,Shaughnessy,49.23958518,-123.1326801
Granville Island Public Market,Attractions,Fairview,49.2727224,-123.1351985
Vancouver Seawall,Attractions,Stanley Park,49.2961568,-123.1279862
Pacific Arts Market,Attractions,Fairview,49.26346024,-123.1372094
Dr. Sun Yat-Sen Chinese Garden,Attractions,Central Business District,49.27980804,-123.1041038
Rogers Arena,Attractions,Central Business District,49.27803699,-123.1088961
English Bay Beach,Attractions,West End,49.28633237,-123.1434865
Jericho Beach Park,Attractions,West Point Grey,49.27209624,-123.1982374
George Wainborn Park,Attractions,Central Business District,49.27246114,-123.1293861
Science World,Attractions,Mount Pleasant,49.27340399,-123.103847
Vancouver Maritime Museum,Attractions,Kitsilano,49.27749381,-123.1472099
Museum of Vancouver,Attractions,Kitsilano,49.27636778,-123.144449
Engine 374 Pavilion,Attractions,Central Business District,49.27357335,-123.1217285
Vancouver Art Gallery,Attractions,Central Business District,49.28285222,-123.1207463
Roedde House Museum,Attractions,West End,49.28696831,-123.1322581
BC Sports Hall of Fame and Museum,Attractions,Central Business District,49.27751852,-123.1124122
CICA Vancouver,Attractions,Central Business District,49.28335223,-123.1063938
Chinese Canadian Museum,Attractions,Central Business District,49.28084632,-123.1037297
Rennie Museum,Attractions,Central Business District,49.2807908,-123.103168
Chinese Cultural Centre Museum,Attractions,Central Business District,49.27980254,-123.1025212
