Crime Data,,,,,,,,,,,,,,Population,,,,,,,,,,,
Year,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Grand Total,,Year,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Arbutus Ridge,405,367,464,436,493,431,365,359,372,287,306,4285,,Arbutus Ridge,14684,14831,14979,15129,15295,15448,15603,15759,15917,15954,16114
Central Business District,8850,9630,10552,11292,13374,13424,14318,15981,10376,9147,9435,126379,,Central Business District,59551,60147,60748,61356,62030,62651,63277,63910,64549,64701,65348
Dunbar-Southlands,623,457,533,626,472,513,520,488,509,331,281,5353,,Dunbar-Southlands,20569,20775,20983,21192,21425,21640,21856,22075,22296,22348,22571
Fairview,2282,2102,2586,2454,2407,2166,2217,2676,2135,1591,1511,24127,,Fairview,32277,32600,32926,33255,33620,33957,34296,34639,34986,35068,35419
Grandview-Woodland,1974,2206,2125,2184,2425,2404,2215,2332,1928,1585,1385,22763,,Grandview-Woodland,28009,28290,28572,28858,29175,29467,29762,30060,30360,30432,30736
Hastings-Sunrise,1346,1141,1184,1294,1400,1436,1504,1615,1284,1174,843,14221,,Hastings-Sunrise,33194,33526,33861,34199,34575,34921,35271,35623,35979,36064,36425
Kensington-Cedar Cottage,1648,2017,2045,1861,1924,1705,1698,1936,1666,1459,1286,19245,,Kensington-Cedar Cottage,47354,47828,48306,48789,49325,49819,50317,50820,51328,51449,51964
Kerrisdale,612,416,489,551,542,470,504,526,460,435,321,5326,,Kerrisdale,13417,13551,13687,13823,13975,14115,14256,14399,14543,14577,14723
Killarney,791,641,721,695,636,713,679,729,589,530,526,7250,,Killarney,28153,28435,28719,29007,29325,29619,29915,30214,30516,30588,30894
Kitsilano,1798,1695,1633,1957,2064,1870,2120,1907,1796,1366,1078,19284,,Kitsilano,41325,41738,42156,42577,43045,43476,43911,44350,44793,44899,45348
Marpole,880,839,943,935,1026,1039,1021,1127,951,919,781,10461,,Marpole,23483,23718,23955,24194,24460,24705,24952,25202,25454,25514,25769
Mount Pleasant,2278,2448,3011,2895,3131,2855,2925,3191,2476,2267,2026,29503,,Mount Pleasant,31638,31955,32274,32597,32955,33285,33618,33954,34294,34374,34718
Musqueam,62,48,45,52,39,30,31,33,42,26,22,430,,Musqueam,1589,1605,1621,1637,1655,1672,1689,1706,1723,1727,1744
Oakridge,711,609,655,666,668,640,615,689,425,358,334,6370,,Oakridge,12510,12635,12761,12889,13030,13161,13292,13425,13560,13591,13727
Renfrew-Collingwood,1904,1747,2017,1971,2078,2357,2113,2171,2186,2037,2112,22693,,Renfrew-Collingwood,49471,49966,50465,50970,51530,52046,52566,53092,53623,53749,54286
Riley Park,914,1027,979,983,1116,1010,1061,1207,894,743,616,10550,,Riley Park,21654,21871,22089,22310,22555,22781,23009,23239,23471,23527,23762
Shaughnessy,428,330,421,434,472,491,478,383,434,315,265,4451,,Shaughnessy,8094,8174,8256,8339,8430,8515,8600,8686,8773,8793,8881
South Cambie,370,340,500,491,437,397,359,500,493,363,341,4591,,South Cambie,7652,7728,7806,7884,7970,8050,8131,8212,8294,8314,8397
Stanley Park,253,333,258,267,199,206,200,241,90,125,65,2237,,Stanley Park,120,121,122,123,124,126,127,128,130,130,131
Strathcona,2194,2174,2467,2513,2924,2915,3117,3407,3092,2363,2308,29474,,Strathcona,12082,12203,12325,12449,12585,12711,12838,12967,13097,13127,13259
Sunset,1258,1132,1072,1041,1182,1029,1165,1298,1090,961,1336,12564,,Sunset,35042,35392,35746,36103,36500,36866,37234,37607,37983,38072,38453
Victoria-Fraserview,721,735,750,735,723,797,734,763,642,591,557,7748,,Victoria-Fraserview,29824,30122,30423,30728,31065,31376,31690,32007,32327,32403,32727
West End,2851,3084,3374,3495,3941,3826,3888,4222,3125,2835,2537,37178,,West End,45314,45767,46225,46687,47200,47673,48149,48631,49117,49233,49725
West Point Grey,403,330,438,442,456,464,422,454,469,349,223,4450,,West Point Grey,12543,12669,12795,12923,13065,13196,13328,13461,13596,13628,13764
