Station,Line,Neighbourhood,Latitude,Longitude,,,,,,,,
Waterfront Station,Canada Line/Expo Line,Central Business District,49.285833,-123.111667,,,,,,,,
Vancouver City Centre Station,Canada Line,Central Business District,49.28202,-123.11875,,,,,,,,
Yaletown–Roundhouse Station,Canada Line,Central Business District,49.27455,-123.1219,,,,,,,,
Olympic Village Station,Canada Line,Fairview,49.266389,-123.115833,,,,,,,,
Broadway–City Hall Station,Canada Line,Mount Pleasant,49.262778,-123.114444,,,,,,,,
King Edward Station,Canada Line,South Cambie,49.249167,-123.115833,,,,,,,,
Oakridge–41st Ave Station,Canada Line,Oakridge,49.233056,-123.116667,,,,,,,,
Langara–49th Ave Station,Canada Line,Oakridge,49.226389,-123.116111,,,,,,,,
Marine Drive Station,Canada Line,Marpole,49.209722,-123.11694,,,,,,,,
VCC–Clark Station,Millennium Line,Strathcona,49.265753,-123.078825,,,,,,,,
Commercial–Broadway Station,Millennium Line/Expo Line,Grandview-Woodland,49.2625,-123.068889,,,,,,,,
Renfrew Station,Millennium Line,Renfrew-Collingwood,49.258889,-123.045278,,,,,,,,
Rupert,Millennium Line,Renfrew-Collingwood,49.260833,-123.032778,,,,,,,,
Burrard Station,Expo Line,West End,49.285616,-123.120157,,,,,,,,
Granville Station,Expo Line,Central Business District,49.28275,-123.116639,,,,,,,,
Stadium–Chinatown Station,Expo Line,Central Business District,49.279444,-123.109444,,,,,,,,
Main Street–Science World Station,Expo Line,Central Business District,49.273114, -123.100348,,,,,,,,
Nanaimo Station,Expo Line,Renfrew-Collingwood,49.248184,-123.05564,,,,,,,,
29th Avenue Station,Expo Line,Renfrew-Collingwood,49.244084,-123.045931,,,,,,,,
Joyce–Collingwood Station,Expo Line,Renfrew-Collingwood,49.23835,-123.031704,,,,,,,,
